epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
64,3464.44,0.7442,0.4386,0.88239,0.90529,0.78128,0.85683,0.62394,1.00987,0.65894,0.95375,0.000537356,0.000179119,0.000537356,0.000179119,0.000537356,0.000179119,0.000537356,0.000179119
65,3518.22,0.76773,0.44801,0.88662,0.91389,0.77589,0.85401,0.62161,1.00539,0.64668,0.9492,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406,0.000523219,0.000174406
66,3572.3,0.76452,0.44941,0.8875,0.91927,0.76152,0.85836,0.62055,1.01364,0.65189,0.95142,0.000509082,0.000169694,0.000509082,0.000169694,0.000509082,0.000169694,0.000509082,0.000169694
67,3626.07,0.74926,0.44779,0.88364,0.91422,0.76912,0.8565,0.62018,1.02577,0.64282,0.95621,0.000494945,0.000164982,0.000494945,0.000164982,0.000494945,0.000164982,0.000494945,0.000164982
68,3679.45,0.76093,0.44734,0.88551,0.90224,0.78363,0.86073,0.626,1.01359,0.64127,0.95295,0.000480808,0.000160269,0.000480808,0.000160269,0.000480808,0.000160269,0.000480808,0.000160269
69,3732.93,0.74655,0.43852,0.88297,0.90142,0.77869,0.8583,0.62492,1.01492,0.64784,0.9528,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557,0.00046667,0.000155557
70,3787,0.75244,0.43756,0.88333,0.89053,0.80328,0.86095,0.62203,1.01565,0.64918,0.95685,0.000452533,0.000150844,0.000452533,0.000150844,0.000452533,0.000150844,0.000452533,0.000150844
71,3840.93,0.74206,0.43012,0.88264,0.90932,0.79323,0.86313,0.6247,1.01753,0.64827,0.95569,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132,0.000438396,0.000146132
72,3894.73,0.75093,0.44166,0.88152,0.90906,0.79029,0.85997,0.62395,1.01987,0.64713,0.95586,0.000424259,0.00014142,0.000424259,0.00014142,0.000424259,0.00014142,0.000424259,0.00014142
73,3948.39,0.74094,0.43288,0.8787,0.89925,0.79268,0.85744,0.61994,1.01403,0.64887,0.95362,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707,0.000410122,0.000136707
74,4002.34,0.73422,0.43083,0.87902,0.89506,0.80405,0.85814,0.62684,1.01146,0.64607,0.95057,0.000395984,0.000131995,0.000395984,0.000131995,0.000395984,0.000131995,0.000395984,0.000131995
75,4056.35,0.74026,0.43476,0.88191,0.89502,0.7904,0.85641,0.62535,1.01116,0.65772,0.95269,0.000381847,0.000127282,0.000381847,0.000127282,0.000381847,0.000127282,0.000381847,0.000127282
76,4110.49,0.747,0.43389,0.88343,0.89055,0.80141,0.85811,0.62575,1.00709,0.64465,0.94886,0.00036771,0.00012257,0.00036771,0.00012257,0.00036771,0.00012257,0.00036771,0.00012257
77,4164.41,0.73229,0.42578,0.87608,0.90289,0.78931,0.85568,0.62225,1.0143,0.64788,0.95332,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858,0.000353573,0.000117858
78,4218.19,0.74247,0.4279,0.87954,0.90036,0.78423,0.85644,0.6242,1.00639,0.64903,0.95254,0.000339436,0.000113145,0.000339436,0.000113145,0.000339436,0.000113145,0.000339436,0.000113145
